Voltages (V),Current (A),Field (mT),θ1L,θa1L,θ2L,θ2aL,θ3L,θ3aL,θ1R,θ1aR,θ2R,θ2aR,θ3R,θ3aR
0,0,-1,2.291913215,2.291913215,3.1617357,3.1617357,3.948717949,3.948717949,2.360946746,2.360946746,3.230769231,3.230769231,3.934911243,3.934911243
2.3,0.9,9.9,2.264299803,2.278106509,3.147928994,3.175542406,3.934911243,3.948717949,2.333333333,2.374753452,3.230769231,3.244575937,3.90729783,3.934911243
4.1,1.7,19.3,2.250493097,2.291913215,3.134122288,3.175542406,3.921104536,3.962524655,2.319526627,2.360946746,3.203155819,3.258382643,3.90729783,3.948717949
6.2,2.5,28.9,2.250493097,2.305719921,3.120315582,3.203155819,3.893491124,3.990138067,2.278106509,2.41617357,3.189349112,3.272189349,3.879684418,3.962524655
8.2,3.4,39.2,2.181459566,2.347140039,3.09270217,3.216962525,3.879684418,4.017751479,2.264299803,2.429980276,3.1617357,3.285996055,3.852071006,3.990138067
10.6,4.4,52,2.140039448,2.374753452,3.065088757,3.244575937,3.852071006,4.045364892,2.222879684,2.457593688,3.147928994,3.313609467,3.824457594,4.017751479
13.4,5.6,62.8,2.112426036,2.41617357,3.051282051,3.272189349,3.824457594,4.072978304,2.16765286,2.499013807,3.120315582,3.34122288,3.810650888,4.045364892
17,7.1,70.9,2.084812623,2.443786982,3.023668639,3.285996055,3.810650888,4.072978304,2.153846154,2.512820513,3.09270217,3.355029586,3.796844181,4.059171598
23.2,9.7,96.2,2.043392505,2.457593688,3.009861933,3.299802761,3.796844181,4.100591716,2.126232742,2.554240631,3.078895464,3.382642998,3.769230769,4.072978304
